category,situation,prompt,response_a,response_b,human_choice
Conflict Resolution,Boundary crossed,My cousin crossed a line I hadn't clearly stated before.,Stay upset internally but not bring it up since you hadn't said it before.,Explain the boundary clearly now and how you'd like things to go forward.,1
Starting Conversations,Party small talk,I don't know what to say to my new employee at a party.,Ask what brought them there and follow their lead from there.,Talk mainly about your own week so they get to know you.,0
Workplace Communication,Unclear instructions,My new employee gave me a task but the instructions were unclear.,Start working right away and adjust later if it's wrong.,Ask a specific clarifying question before starting.,1
Starting Conversations,Elevator moment,I'm stuck in an elevator with my study partner and it's silent.,Stay quiet since small talk in short moments can feel forced.,"Make a light, easy comment about the situation to break the ice.",1
Conflict Resolution,Miscommunication,My teammate misunderstood something I said and got upset.,Clarify what you meant calmly and ask how they took it.,Assume it will blow over on its own without addressing it.,0
Starting Conversations,Elevator moment,I'm stuck in an elevator with my roommate and it's silent.,Stay quiet since small talk in short moments can feel forced.,"Make a light, easy comment about the situation to break the ice.",1
Empathy,Bad day,My mentor is clearly having a bad day but hasn't explained why.,Give them space entirely so they can process it alone.,Check in gently and let them share as much or as little as they want.,1
Making Friends,Long distance,My classmate moved away and I want to keep the friendship going.,"Set a simple regular way to stay in touch, like a monthly call.",Wait for them to reach out first since they moved.,0
Assertiveness,Speaking up in group,I disagree with the direction my coworker and the group are taking.,"Voice your concern clearly once, with your reasoning.",Stay quiet since the group already seems to agree.,0
Empathy,Fear of change,My sibling is scared about an upcoming change in their life.,Ask what specifically worries them before offering reassurance.,Tell them there's nothing to worry about and it'll be fine.,0
Making Friends,Deepening a friendship,I want my friendship with my roommate to feel closer.,Share something a bit more personal and see how they respond.,Do more favors for them so they feel obligated to get closer.,0
Conflict Resolution,After an argument,I had an argument with my close friend and we haven't spoken since.,Wait for them to reach out first since they were more upset.,Reach out and acknowledge the disagreement directly.,1
Assertiveness,Unreasonable request,My manager asks for something that isn't reasonable given the timeline.,Agree to the timeline and rush to make it work anyway.,Explain what's realistic and propose an alternative timeline.,1
Teamwork,Remote coordination,Communication with my coworker keeps slipping through the cracks remotely.,Propose a short regular check-in and a shared doc for updates.,Send more frequent individual messages to make sure nothing is missed.,0
Starting Conversations,Group setting,I want to join a conversation my roommate is already having with others.,"Listen for a moment, then add something relevant to what's being said.",Wait for a full pause before jumping in with a new topic.,0
Setting Boundaries,Borrowed items,My neighbor borrows things and often returns them late or damaged.,Stop mentioning it and quietly avoid lending to them again.,Tell them directly what you need going forward.,1
Setting Boundaries,Time boundary,My coworker tends to run long in conversations when I have limited time.,Let the conversation run long to avoid seeming rude.,Let them know upfront how much time you have.,1
Setting Boundaries,Personal questions,My manager keeps asking about my personal life in ways that feel intrusive.,Answer fully each time so you don't seem unfriendly.,Politely redirect the conversation and keep answers brief.,1
Workplace Communication,Disagreeing publicly,My neighbor says something inaccurate in a meeting with others present.,Note it calmly in the meeting or follow up privately after.,Correct them firmly in front of everyone right away.,0
Starting Conversations,Reconnecting casually,I ran into my neighbor after a long time and don't know how to start talking again.,Apologize for being out of touch before saying anything else.,Mention something specific you remember about them before asking what's new.,1
Nonverbal Communication,Comforting someone,My neighbor is upset and I want to comfort them without words getting in the way.,Talk continuously to fill the silence.,"Sit close, keep an open posture, and let your presence show support.",1
Handling Criticism,Criticism of a decision,My cousin criticizes a decision I already made.,Explain in detail why the decision was the only reasonable option.,"Hear them out and note it for future decisions, even if it's done.",1
Active Listening,Differing opinion,My neighbor shares an opinion in discussion that's different from mine.,Wait for a pause and then explain why your view is more accurate.,Ask them to explain more before sharing your own view.,1
Conflict Resolution,After an argument,I had an argument with my new employee and we haven't spoken since.,Reach out and acknowledge the disagreement directly.,Wait for them to reach out first since they were more upset.,0
Teamwork,Disagreeing on direction,My mentor and I can't agree on which idea to move forward with.,Suggest listing pros and cons together so the decision feels shared.,Go with whichever idea the more vocal person prefers.,0
Public Speaking,Nervous before presenting,I have to present tomorrow with my mentor in the room and I'm nervous.,Practice out loud a few times and focus on your main message.,Write out the entire speech word for word and read from the page.,0
Active Listening,Feedback session,My teammate is giving me feedback I didn't expect.,Explain your reasoning as soon as a point doesn't sit right with you.,"Listen fully before responding, even if you want to explain yourself.",1
Empathy,Pre-exam anxiety,My roommate tells me they're anxious about a big test or evaluation.,Ask what part feels hardest and just listen.,Tell them they'll definitely do fine since they usually do.,0
Public Speaking,Status update,I need to give my coworker a short status update on my work.,Walk through the process step by step in the order it happened.,"Lead with the headline result, then add detail only if asked.",1
Assertiveness,Unfair blame,I got blamed for something that wasn't my fault by my coworker.,Let it go since bringing it up might seem difficult.,"Explain calmly what actually happened, with specifics.",1
Nonverbal Communication,Group photo moment,I want to seem approachable to my sibling in a group setting.,Keep an open stance and make brief eye contact with people as they talk.,Stand slightly apart so you don't seem like you're intruding.,0
Empathy,Friend's loss,My coworker just lost a family member and I don't know what to say.,Acknowledge the loss simply and offer to help with something concrete.,Give them space and wait until they bring it up themselves.,0
Nonverbal Communication,Comforting someone,My cousin is upset and I want to comfort them without words getting in the way.,"Sit close, keep an open posture, and let your presence show support.",Talk continuously to fill the silence.,0
Public Speaking,Losing the audience,I notice my cousin and others checking their phones while I present.,Speak faster to get through the remaining content.,"Pause, ask a quick question to re-engage the room, then continue.",1
Making Friends,New environment,I just started somewhere new with my classmate and want to build a friendship.,Show consistent interest over time and remember details they share.,Try to befriend the most popular person first to meet others faster.,0
Workplace Communication,Meeting overload,My close friend keeps scheduling meetings that could be emails.,Attend all of them without raising the issue.,Suggest an async update as an alternative for some of them.,1
Workplace Communication,Unclear instructions,My coworker gave me a task but the instructions were unclear.,Start working right away and adjust later if it's wrong.,Ask a specific clarifying question before starting.,1
Teamwork,Sharing credit,Our team succeeded mostly because of my manager's extra effort.,Present it as a fully equal effort so no one feels singled out.,Acknowledge their specific contribution while recognizing the team too.,1
Assertiveness,Overloaded schedule,My neighbor keeps adding to my workload without checking capacity.,Take on everything without comment and try to work faster.,State clearly what's already on your plate and ask them to help prioritize.,1
Conflict Resolution,Boundary crossed,My classmate crossed a line I hadn't clearly stated before.,Explain the boundary clearly now and how you'd like things to go forward.,Stay upset internally but not bring it up since you hadn't said it before.,0
Handling Criticism,Repeated feedback,I keep getting the same feedback from my study partner and others.,Assume it's a coincidence since they don't know each other.,Take it as a real signal worth addressing.,1
Conflict Resolution,Repeated issue,My cousin and I keep having the same argument about the same thing.,Bring up every past instance to show the pattern clearly.,Sit down outside the heated moment and agree on a clear plan.,1
Active Listening,Differing opinion,My close friend shares an opinion in discussion that's different from mine.,Wait for a pause and then explain why your view is more accurate.,Ask them to explain more before sharing your own view.,1
Teamwork,Missed deadline,My roommate missed a deadline that affected the whole team.,Point out the missed deadline in front of the team.,Ask what happened and work together on a recovery plan.,1
Making Friends,New city,I moved somewhere new and want to build a friendship with my study partner.,Suggest a regular low-key activity together so contact becomes natural.,Attend as many one-off events with them as possible.,0
Starting Conversations,Meeting new people,I'm new to a group with my teammate and don't know how to start talking.,Wait for someone to notice you're new and approach you first.,"Start with a simple question about what's going on around you, then build on their answer.",1
Nonverbal Communication,Group photo moment,I want to seem approachable to my cousin in a group setting.,Keep an open stance and make brief eye contact with people as they talk.,Stand slightly apart so you don't seem like you're intruding.,0
Active Listening,Differing opinion,My study partner shares an opinion in discussion that's different from mine.,Wait for a pause and then explain why your view is more accurate.,Ask them to explain more before sharing your own view.,1
Teamwork,Conflicting styles,My study partner works very differently from me and it's causing friction.,Talk openly about work styles and agree on a middle ground.,Adjust your own style completely to match theirs.,0
Workplace Communication,Asking for more,I want to ask my cousin for a raise or more responsibility.,Mention it casually in passing to keep things low-pressure.,Schedule a dedicated conversation with specific examples ready.,1
Setting Boundaries,After-hours messages,My neighbor keeps messaging me about work late at night.,Let them know you'll respond first thing in the morning unless urgent.,Reply right away every time so they know you're available.,0
Setting Boundaries,After-hours messages,My sibling keeps messaging me about work late at night.,Reply right away every time so they know you're available.,Let them know you'll respond first thing in the morning unless urgent.,1
Empathy,Pre-exam anxiety,My cousin tells me they're anxious about a big test or evaluation.,Ask what part feels hardest and just listen.,Tell them they'll definitely do fine since they usually do.,0
Setting Boundaries,Overcommitted,My neighbor keeps asking for favors that take up a lot of my time.,Say yes to what you can genuinely manage and be honest otherwise.,Keep saying yes so the relationship doesn't feel strained.,0
Workplace Communication,Meeting overload,My mentor keeps scheduling meetings that could be emails.,Attend all of them without raising the issue.,Suggest an async update as an alternative for some of them.,1
Empathy,Difficult decision,My classmate is torn over a difficult decision.,Tell them clearly what you think they should do.,Ask questions that help them think it through rather than telling them what to do.,1
Workplace Communication,Cross-team request,I need something from my mentor on another team that isn't their priority.,Follow up frequently until they get to it.,Explain clearly why it matters and ask what timeline works.,1
Public Speaking,Technical explanation,"I need to explain something technical to my classmate, who isn't familiar with it.",Explain it exactly the way you'd explain it to an expert.,"Start with the simplest version, then add detail if they ask.",1
Nonverbal Communication,Tone mismatch,My neighbor says they're fine but their tone suggests otherwise.,Take their words at face value and move on.,Gently note the mismatch and ask if they want to talk about it.,1
Setting Boundaries,Overcommitted,My sibling keeps asking for favors that take up a lot of my time.,Say yes to what you can genuinely manage and be honest otherwise.,Keep saying yes so the relationship doesn't feel strained.,0
Active Listening,Differing opinion,My new employee shares an opinion in discussion that's different from mine.,Wait for a pause and then explain why your view is more accurate.,Ask them to explain more before sharing your own view.,1
Conflict Resolution,Group project friction,My classmate and I clash on a shared project.,"Propose a short conversation focused only on the project, not personalities.",Split the work in half and avoid talking about the disagreement.,0
Empathy,Bad day,My coworker is clearly having a bad day but hasn't explained why.,Check in gently and let them share as much or as little as they want.,Give them space entirely so they can process it alone.,0
Active Listening,Feedback session,My sibling is giving me feedback I didn't expect.,"Listen fully before responding, even if you want to explain yourself.",Explain your reasoning as soon as a point doesn't sit right with you.,0
Setting Boundaries,Repeated favors,My study partner keeps asking for the same favor without offering anything back.,Mention the pattern directly and see if something can change.,Keep helping without saying anything about the imbalance.,0
Conflict Resolution,Noise issue,My sibling is being loud in a way that's affecting me.,Explain the specific issue calmly and propose a compromise.,Escalate to someone in charge before talking to them directly.,0
Workplace Communication,Giving feedback up,"I need to give feedback to my teammate, who is more senior than me.",Wait for them to ask for feedback before offering any.,Frame it around impact and ask if they're open to a suggestion.,1
Teamwork,Cross-functional friction,My manager on another team isn't cooperating well with mine.,Escalate to management before trying to talk directly.,Set up a conversation to understand their constraints and priorities.,1
Handling Criticism,Written feedback,My new employee left written feedback that's hard to interpret in tone.,Ask a quick clarifying question rather than assuming the worst tone.,Assume the harshest possible tone and respond defensively.,0
Starting Conversations,Meeting new people,I'm new to a group with my cousin and don't know how to start talking.,"Start with a simple question about what's going on around you, then build on their answer.",Wait for someone to notice you're new and approach you first.,0
Teamwork,Disagreeing on direction,My classmate and I can't agree on which idea to move forward with.,Suggest listing pros and cons together so the decision feels shared.,Go with whichever idea the more vocal person prefers.,0
Teamwork,Missed deadline,My mentor missed a deadline that affected the whole team.,Point out the missed deadline in front of the team.,Ask what happened and work together on a recovery plan.,1
Starting Conversations,Elevator moment,I'm stuck in an elevator with my manager and it's silent.,"Make a light, easy comment about the situation to break the ice.",Stay quiet since small talk in short moments can feel forced.,0
Setting Boundaries,Emotional labor,My sibling relies on me a lot for emotional support.,Keep absorbing it all so they don't feel unsupported.,Support them within limits and encourage other resources too.,1
Teamwork,Remote coordination,Communication with my team lead keeps slipping through the cracks remotely.,Send more frequent individual messages to make sure nothing is missed.,Propose a short regular check-in and a shared doc for updates.,1
Assertiveness,Overloaded schedule,My old friend keeps adding to my workload without checking capacity.,Take on everything without comment and try to work faster.,State clearly what's already on your plate and ask them to help prioritize.,1
Teamwork,Decision paralysis,My team lead and the team can't decide on next steps.,Wait for someone else to take the lead on deciding.,Propose a clear deadline for the decision and a simple way to choose.,1
Handling Criticism,Friend's honest opinion,My roommate told me honestly they didn't like something I made.,Ask what specifically didn't work for them.,Assume they just don't understand what you were going for.,0
Assertiveness,Pressure to conform,My manager is pressuring me to do something I'm not comfortable with.,"Say directly that you're not comfortable with it, without over-explaining.",Go along with it this once to avoid seeming judgmental.,0
Making Friends,Awkward gap,There's been an awkward gap since I last talked to my close friend.,Apologize extensively for not reaching out sooner.,Reach out casually without over-explaining the gap.,1
Assertiveness,Price disagreement,I think what my roommate is charging or asking for is too much.,Accept it to avoid an awkward conversation.,Ask directly for the reasoning and mention your expectation.,1
Starting Conversations,Event mingling,I'm at an event where my close friend is and I want to start a conversation.,"Comment on something shared in the moment, like the event itself.",Stand near them and wait until they start talking to you.,0
Making Friends,New city,I moved somewhere new and want to build a friendship with my manager.,Attend as many one-off events with them as possible.,Suggest a regular low-key activity together so contact becomes natural.,1
Public Speaking,Nervous before presenting,I have to present tomorrow with my close friend in the room and I'm nervous.,Practice out loud a few times and focus on your main message.,Write out the entire speech word for word and read from the page.,0
Starting Conversations,Group setting,I want to join a conversation my neighbor is already having with others.,"Listen for a moment, then add something relevant to what's being said.",Wait for a full pause before jumping in with a new topic.,0
Conflict Resolution,Team disagreement,My new employee and I disagree strongly about how to approach something.,Ask them to explain their reasoning and look for common ground.,Let whoever has more experience decide since they're likely right.,0
Nonverbal Communication,Physical distance,My roommate seems to keep more physical distance than usual.,Respect the space and let them close the distance if they want to.,Move closer to make the conversation feel warmer.,0
Active Listening,Complaint,My manager is complaining about something that affects them directly.,Repeat their concern back in your own words before responding.,Apologize briefly and move on to explaining the policy or reasoning.,0
Nonverbal Communication,Crossed arms,My team lead has their arms crossed and seems distant.,Soften your own body language and ask an open question.,Mirror their crossed arms so the conversation feels balanced.,0
Workplace Communication,Sensitive topic,I need to bring up a sensitive topic with my cousin at work.,Bring it up casually in a group setting to soften it.,Choose a private setting and lead with the specific concern.,1
Setting Boundaries,Time boundary,My new employee tends to run long in conversations when I have limited time.,Let the conversation run long to avoid seeming rude.,Let them know upfront how much time you have.,1
Empathy,Visible stress,My sibling seems overwhelmed but hasn't said anything.,Offer to take over their tasks without asking first.,Ask privately how they're doing and mention what you've noticed.,1
Conflict Resolution,Shared space,My new employee keeps leaving a mess and it's bothering me.,Leave it as is until they notice the problem themselves.,Bring it up calmly in person and suggest a system that works for both of you.,1
Starting Conversations,Waiting room,I'm sitting next to my new employee in a waiting room and want to talk.,Ask them several personal questions to fill the time.,"Make an easy comment about the wait, then see if they want to keep talking.",1
Handling Criticism,Creative project,My coworker criticized a creative project I'm proud of.,Consider which parts resonate with your own doubts and set aside the rest.,Change the project significantly based on this one comment.,0
Conflict Resolution,Noise issue,My old friend is being loud in a way that's affecting me.,Explain the specific issue calmly and propose a compromise.,Escalate to someone in charge before talking to them directly.,0
Starting Conversations,Event mingling,I'm at an event where my mentor is and I want to start a conversation.,"Comment on something shared in the moment, like the event itself.",Stand near them and wait until they start talking to you.,0
Nonverbal Communication,Physical distance,My teammate seems to keep more physical distance than usual.,Move closer to make the conversation feel warmer.,Respect the space and let them close the distance if they want to.,1
Public Speaking,Q&A nerves,I'm worried about freezing up during questions from my new employee.,Answer as quickly as possible to avoid an awkward silence.,"Take a breath, repeat the question in your own words, then answer.",1
Nonverbal Communication,Tense meeting,My neighbor seems tense during a meeting and it's affecting the room.,Keep your own tone calm and open to help ease the tension.,Match their tense energy so the seriousness is clear.,0
Teamwork,New teammate,My roommate just joined the team and seems unsure of their role.,Check in directly and walk through how the team works.,Let them observe for a while so they can figure it out on their own.,0
Nonverbal Communication,Distracted listener,My team lead seems distracted while I'm talking to them.,Keep talking at the same pace regardless.,Pause briefly and check in before continuing.,1
Making Friends,Deepening a friendship,I want my friendship with my teammate to feel closer.,Do more favors for them so they feel obligated to get closer.,Share something a bit more personal and see how they respond.,1
Nonverbal Communication,Group photo moment,I want to seem approachable to my mentor in a group setting.,Keep an open stance and make brief eye contact with people as they talk.,Stand slightly apart so you don't seem like you're intruding.,0
Active Listening,Casual catch-up,My classmate is catching me up on their week.,Wait for your turn to talk about your own week.,Ask a couple of specific follow-up questions to show you're engaged.,1
Active Listening,Complaint,My neighbor is complaining about something that affects them directly.,Apologize briefly and move on to explaining the policy or reasoning.,Repeat their concern back in your own words before responding.,1
Public Speaking,Speaking to a large group,I'm nervous speaking to a room that includes my classmate and many others.,Pick one or two friendly faces in the room to speak toward.,Avoid eye contact so you don't get more nervous.,0
Conflict Resolution,Public disagreement,My study partner disagreed with me in front of others.,Push back just as strongly in front of the same group.,Stay calm in the moment and follow up with them privately after.,1
Empathy,Bad day,My roommate is clearly having a bad day but hasn't explained why.,Check in gently and let them share as much or as little as they want.,Give them space entirely so they can process it alone.,0
Empathy,Public embarrassment,My sibling did something embarrassing in front of others.,Pretend not to notice so they don't feel more embarrassed.,"Help them move past it with a light, kind comment.",1
Assertiveness,Last-minute request,My old friend asks me for a last-minute favor I can't really do.,Agree and rearrange your own plans to make it work.,"Say clearly that you can't this time, without a long justification.",1
Empathy,Health scare,My new employee just got concerning medical news.,Immediately research solutions and send them information.,Ask how they're feeling about it and what kind of support they want.,1
Conflict Resolution,Credit dispute,My teammate took credit for part of my idea.,Talk to them privately first and explain how it affected you.,Bring it up publicly so others hear the correction at once.,0
Starting Conversations,First meeting,I'm about to meet my cousin for the first time and I'm nervous about the opener.,Prepare a detailed introduction covering your background so nothing is left out.,"Prepare one simple, genuine question rather than a rehearsed line.",1
Assertiveness,Unfair blame,I got blamed for something that wasn't my fault by my new employee.,"Explain calmly what actually happened, with specifics.",Let it go since bringing it up might seem difficult.,0
Assertiveness,Unreasonable request,My sibling asks for something that isn't reasonable given the timeline.,Explain what's realistic and propose an alternative timeline.,Agree to the timeline and rush to make it work anyway.,0
Assertiveness,Uncomfortable joke,My coworker makes a joke at my expense that bothers me.,Laugh along so it doesn't seem like a big deal.,"Let them know directly, without making it a bigger issue than needed.",1
Workplace Communication,Sensitive topic,I need to bring up a sensitive topic with my classmate at work.,Bring it up casually in a group setting to soften it.,Choose a private setting and lead with the specific concern.,1
Starting Conversations,New coworker,My study partner just joined and I want to introduce myself well.,Give them a long rundown of how everything works before they've settled in.,Introduce yourself briefly and ask one easy question about their first days.,1
Assertiveness,Disrespected opinion,My manager dismisses my opinion in front of others.,"Stay quiet in the moment and bring it up much later, if at all.",Restate your point calmly and ask to be heard fully.,1
Making Friends,Quiet acquaintance,My close friend is quiet and seems like they'd be a good friend but rarely talks.,Approach them one-on-one and mention something specific you noticed.,Include them in bigger group activities and wait for them to open up.,0
Making Friends,Reconnecting,I lost touch with my cousin and want to reconnect naturally.,Call them and explain in detail why you drifted apart.,"Send a short, warm message referencing a specific good memory.",1
Assertiveness,Repeated lateness,My close friend is consistently late when we meet.,Mention it directly and ask if a different time would work better.,Start showing up late yourself so it feels even.,0
Public Speaking,Unexpected question,My roommate asks a question during my talk that I don't know the answer to.,Admit you're not sure and offer to follow up after finding out.,Give a general answer that sounds confident either way.,0
Teamwork,Remote coordination,Communication with my manager keeps slipping through the cracks remotely.,Propose a short regular check-in and a shared doc for updates.,Send more frequent individual messages to make sure nothing is missed.,0
Teamwork,Sharing credit,Our team succeeded mostly because of my mentor's extra effort.,Acknowledge their specific contribution while recognizing the team too.,Present it as a fully equal effort so no one feels singled out.,0
Handling Criticism,Criticism of a decision,My teammate criticizes a decision I already made.,Explain in detail why the decision was the only reasonable option.,"Hear them out and note it for future decisions, even if it's done.",1
Public Speaking,Toast or speech,I have to give a toast or speech in front of my new employee and don't know where to start.,"Pick one specific, genuine memory and build the speech around it.",Include as many jokes and stories as possible.,0
Setting Boundaries,Personal questions,My roommate keeps asking about my personal life in ways that feel intrusive.,Answer fully each time so you don't seem unfriendly.,Politely redirect the conversation and keep answers brief.,1
Active Listening,Complaint,My team lead is complaining about something that affects them directly.,Apologize briefly and move on to explaining the policy or reasoning.,Repeat their concern back in your own words before responding.,1
Active Listening,Upset call,My close friend calls me upset and I'm not sure what to say.,Let them talk it out and ask what happened next instead of jumping to solutions.,Offer solutions quickly so the problem feels handled.,0
Nonverbal Communication,Silent agreement,My team lead nods but seems unsure during a conversation.,Check in directly to see if they actually agree or have concerns.,Take the nod as full agreement and move on.,0
Active Listening,Casual catch-up,My close friend is catching me up on their week.,Wait for your turn to talk about your own week.,Ask a couple of specific follow-up questions to show you're engaged.,1
Empathy,Pre-exam anxiety,My old friend tells me they're anxious about a big test or evaluation.,Tell them they'll definitely do fine since they usually do.,Ask what part feels hardest and just listen.,1
Teamwork,Sharing credit,Our team succeeded mostly because of my roommate's extra effort.,Present it as a fully equal effort so no one feels singled out.,Acknowledge their specific contribution while recognizing the team too.,1
Teamwork,Missed deadline,My neighbor missed a deadline that affected the whole team.,Ask what happened and work together on a recovery plan.,Point out the missed deadline in front of the team.,0
Starting Conversations,Waiting room,I'm sitting next to my coworker in a waiting room and want to talk.,"Make an easy comment about the wait, then see if they want to keep talking.",Ask them several personal questions to fill the time.,0
Workplace Communication,Onboarding question,I have a lot of questions as I onboard and don't want to bother my cousin.,Batch your questions and ask them at a natural check-in time.,Avoid asking and try to figure everything out on your own.,0
Nonverbal Communication,Physical distance,My study partner seems to keep more physical distance than usual.,Move closer to make the conversation feel warmer.,Respect the space and let them close the distance if they want to.,1
Workplace Communication,Difficult email,I need to email my team lead about a mistake that affected me.,Cc other people right away so the issue is taken seriously.,State the issue factually and propose next steps.,1
Workplace Communication,Cross-team request,I need something from my team lead on another team that isn't their priority.,Follow up frequently until they get to it.,Explain clearly why it matters and ask what timeline works.,1
Public Speaking,Speaking to a large group,I'm nervous speaking to a room that includes my study partner and many others.,Avoid eye contact so you don't get more nervous.,Pick one or two friendly faces in the room to speak toward.,1
Starting Conversations,Party small talk,I don't know what to say to my manager at a party.,Ask what brought them there and follow their lead from there.,Talk mainly about your own week so they get to know you.,0
Conflict Resolution,Repeated issue,My old friend and I keep having the same argument about the same thing.,Bring up every past instance to show the pattern clearly.,Sit down outside the heated moment and agree on a clear plan.,1
Nonverbal Communication,Video call presence,I'm on a lot of video calls with my manager and want to seem more engaged.,Look at the camera when speaking and nod occasionally.,Keep your camera off so you can focus without distraction.,0
Empathy,Visible stress,My close friend seems overwhelmed but hasn't said anything.,Offer to take over their tasks without asking first.,Ask privately how they're doing and mention what you've noticed.,1
Setting Boundaries,After-hours messages,My classmate keeps messaging me about work late at night.,Let them know you'll respond first thing in the morning unless urgent.,Reply right away every time so they know you're available.,0
Handling Criticism,Friend's honest opinion,My cousin told me honestly they didn't like something I made.,Assume they just don't understand what you were going for.,Ask what specifically didn't work for them.,1
Public Speaking,Status update,I need to give my new employee a short status update on my work.,"Lead with the headline result, then add detail only if asked.",Walk through the process step by step in the order it happened.,0
Public Speaking,Q&A nerves,I'm worried about freezing up during questions from my teammate.,Answer as quickly as possible to avoid an awkward silence.,"Take a breath, repeat the question in your own words, then answer.",1
Public Speaking,Nervous before presenting,I have to present tomorrow with my old friend in the room and I'm nervous.,Write out the entire speech word for word and read from the page.,Practice out loud a few times and focus on your main message.,1
Handling Criticism,Manager feedback,My close friend gave me critical feedback on something I worked hard on.,Explain the reasons behind your choices before agreeing to change anything.,Thank them for the feedback and ask a specific question about improving.,1
Conflict Resolution,Team disagreement,My team lead and I disagree strongly about how to approach something.,Ask them to explain their reasoning and look for common ground.,Let whoever has more experience decide since they're likely right.,0
Empathy,Setback,My new employee didn't get something they really wanted.,Remind them of other good things going on to help them feel better.,Let them express disappointment without rushing to the positives.,1
Teamwork,Uneven workload,My cousin isn't doing their share of the work.,Talk to them privately about specific tasks and ask what's going on.,Quietly redo their part yourself so the project doesn't suffer.,0
Active Listening,Casual catch-up,My study partner is catching me up on their week.,Wait for your turn to talk about your own week.,Ask a couple of specific follow-up questions to show you're engaged.,1
Starting Conversations,Awkward silence,There's an awkward silence with my mentor and I don't know what to say.,Ask an open question about something you both just experienced.,Fill the silence by talking about yourself until it feels less awkward.,0
Setting Boundaries,Space boundary,My classmate drops by unannounced more than I'd like.,Let it continue and just seem busy when they show up.,Ask them kindly to check in before coming over.,1
Workplace Communication,Meeting overload,My team lead keeps scheduling meetings that could be emails.,Attend all of them without raising the issue.,Suggest an async update as an alternative for some of them.,1
Active Listening,Differing opinion,My teammate shares an opinion in discussion that's different from mine.,Ask them to explain more before sharing your own view.,Wait for a pause and then explain why your view is more accurate.,0
Making Friends,Shared hobby,My mentor likes the same hobby as me and I want to build a friendship.,Suggest doing the hobby together at a low-pressure time.,Message them frequently about the hobby to build common ground fast.,0
Conflict Resolution,Group project friction,My sibling and I clash on a shared project.,"Propose a short conversation focused only on the project, not personalities.",Split the work in half and avoid talking about the disagreement.,0
Starting Conversations,Waiting room,I'm sitting next to my close friend in a waiting room and want to talk.,Ask them several personal questions to fill the time.,"Make an easy comment about the wait, then see if they want to keep talking.",1
Assertiveness,Last-minute request,My manager asks me for a last-minute favor I can't really do.,Agree and rearrange your own plans to make it work.,"Say clearly that you can't this time, without a long justification.",1
Handling Criticism,Unsolicited critique,My team lead critiques something I didn't ask for feedback on.,Explain why their critique doesn't apply in this case.,Thank them briefly and decide later what's actually useful.,1
Assertiveness,Pressure to conform,My classmate is pressuring me to do something I'm not comfortable with.,Go along with it this once to avoid seeming judgmental.,"Say directly that you're not comfortable with it, without over-explaining.",1
Active Listening,Friend venting,My cousin is venting to me about a hard day.,Put distractions away and ask a follow-up question before offering advice.,Share a similar hard day you had so they know you understand.,0
Making Friends,New parent friend,My new employee and I are both new parents and could become friends.,Wait until you run into each other again to suggest anything.,"Suggest a specific low-pressure plan, like a walk with the kids.",1
Nonverbal Communication,Physical distance,My cousin seems to keep more physical distance than usual.,Move closer to make the conversation feel warmer.,Respect the space and let them close the distance if they want to.,1
Setting Boundaries,Financial boundary,My teammate asks to borrow money more often than feels comfortable.,Lend it each time to avoid an uncomfortable conversation.,Set a clear limit and explain it kindly.,1
Nonverbal Communication,Silent agreement,My close friend nods but seems unsure during a conversation.,Take the nod as full agreement and move on.,Check in directly to see if they actually agree or have concerns.,1
Conflict Resolution,Group project friction,My neighbor and I clash on a shared project.,"Propose a short conversation focused only on the project, not personalities.",Split the work in half and avoid talking about the disagreement.,0
Starting Conversations,Party small talk,I don't know what to say to my mentor at a party.,Ask what brought them there and follow their lead from there.,Talk mainly about your own week so they get to know you.,0
Empathy,Financial stress,My roommate hints at financial stress without saying it outright.,Let them bring it up fully in their own time rather than pressing.,Offer money right away to solve the problem quickly.,0
Conflict Resolution,Public disagreement,My old friend disagreed with me in front of others.,Stay calm in the moment and follow up with them privately after.,Push back just as strongly in front of the same group.,0
Active Listening,Feedback session,My new employee is giving me feedback I didn't expect.,"Listen fully before responding, even if you want to explain yourself.",Explain your reasoning as soon as a point doesn't sit right with you.,0
Nonverbal Communication,Crossed arms,My roommate has their arms crossed and seems distant.,Soften your own body language and ask an open question.,Mirror their crossed arms so the conversation feels balanced.,0
Teamwork,New teammate,My old friend just joined the team and seems unsure of their role.,Let them observe for a while so they can figure it out on their own.,Check in directly and walk through how the team works.,1
Setting Boundaries,Emotional labor,My mentor relies on me a lot for emotional support.,Support them within limits and encourage other resources too.,Keep absorbing it all so they don't feel unsupported.,0
Conflict Resolution,Group project friction,My manager and I clash on a shared project.,"Propose a short conversation focused only on the project, not personalities.",Split the work in half and avoid talking about the disagreement.,0
Active Listening,Friend venting,My sibling is venting to me about a hard day.,Share a similar hard day you had so they know you understand.,Put distractions away and ask a follow-up question before offering advice.,1
Conflict Resolution,Credit dispute,My cousin took credit for part of my idea.,Bring it up publicly so others hear the correction at once.,Talk to them privately first and explain how it affected you.,1
Nonverbal Communication,Silent agreement,My classmate nods but seems unsure during a conversation.,Check in directly to see if they actually agree or have concerns.,Take the nod as full agreement and move on.,0
Nonverbal Communication,Video call presence,I'm on a lot of video calls with my coworker and want to seem more engaged.,Look at the camera when speaking and nod occasionally.,Keep your camera off so you can focus without distraction.,0
